DN,area_ha
"9",0.121
"9",0.121
"1",0.061
"16",0.121
"4",0.061
"9",0.364
"9",0.061
"9",0.061
"12",0.121
"4",0.485
"16",0.303
"13",0.061
"9",0.121
"4",0.909
"12",0.303
"12",0.061
"16",1.272
"9",0.061
"1",0.121
"12",0.061
"4",0.121
"12",0.061
"9",0.121
"4",0.061
"16",0.121
"4",0.182
"1",0.242
"4",0.848
"16",0.061
"16",0.061
"16",0.061
"16",0.061
"9",0.485
"9",0.121
"12",0.061
"9",1.636
"12",0.303
"12",0.121
"4",0.061
"1",0.242
"4",1.394
"12",0.303
"4",0.061
"16",0.121
"4",0.061
"12",0.182
"12",0.061
"4",0.121
"4",0.061
"12",0.727
"1",0.061
"13",0.121
"9",0.485
"12",0.061
"4",0.061
"16",0.061
"4",0.061
"9",0.121
"9",0.121
"16",0.061
"1",0.061
"12",0.182
"16",0.364
"16",0.061
"12",0.121
"12",0.061
"12",0.242
"1",0.061
"4",0.061
"11",0.061
"11",0.121
"4",0.121
"1",0.121
"9",0.848
"16",0.364
"4",0.121
"9",0.121
"4",0.061
"16",0.121
"16",0.061
"16",0.061
"16",0.061
"12",0.121
"12",0.061
"16",0.061
"9",0.667
"16",4.181
"11",0.121
"4",0.121
"4",0.061
"12",0.121
"12",0.061
"16",0.121
"16",0.121
"3",0.061
"16",0.061
"16",0.061
"9",0.545
"12",0.061
"12",0.061
"11",0.121
"16",0.242
"11",0.061
"9",0.121
"4",0.121
"4",0.182
"4",0.061
"16",0.061
"4",0.121
"9",0.061
"1",0.061
"1",0.061
"4",0.121
"1",0.061
"1",0.061
"16",0.182
"16",0.061
"4",0.061
"16",0.061
"9",0.121
"16",0.061
"12",4.665
"4",1.878
"4",0.788
"4",0.909
"1",1.515
"12",7.816
"9",0.121
"12",0.242
"4",0.242
"11",0.606
"4",0.485
"9",0.061
"1",0.061
"16",0.121
"16",0.061
"16",0.242
"4",0.061
"16",0.667
"12",0.061
"4",0.242
"4",0.061
"1",0.242
"1",0.121
"4",0.121
"4",0.242
"16",0.121
"9",0.121
"16",0.061
"16",0.061
"16",0.545
"4",0.242
"4",0.121
"12",0.545
"4",0.061
"12",1.151
"9",0.182
"12",0.121
"9",1.151
"4",0.121
"16",0.061
"12",0.242
"9",0.061
"16",0.061
"16",0.606
"12",4.908
"4",0.061
"16",4.242
"4",0.121
